orig_idx,combined_lower,has_unilateral,has_bilateral
0,"chemotherapy planning [sep] cancer treatment planning, chemotherapy regimen design, anti-cancer drug schedule, chemotherapy treatment plan, cancer therapy setup, chemo treatment strategy, chemotherapy protocol development, cancer medication planning, chemotherapy session preparation, chemo therapy planning process, cancer care medication plan, chemotherapy treatment coordination [sep] chemo planning, ctx plan, ca treatment plan, chemo-plan, chemo regimen, oncology plan, chemotherapy protocol, ca therapy setup, chemo schedule, ca med plan, chemo prep, cancer tx planning",0,0
1,"consultation dental - medicine [sep] dental consultation, dental exam, dental check-up, teeth assessment, oral health evaluation, cavity screening, dental appointment, tooth examination, mouth health review, dental visit, dental problem discussion, dental health consultation [sep] den consult, dent exam, dent check, oral eval, teeth assess, dental appt, cavity screen, tooth exam, mouth review, dent visit, oral issue, dental hc, dental cnsl",0,0
2,"consultation emergency [sep] urgent care consultation, emergency medical advice, urgent doctor visit, walk-in medical consultation, immediate health assessment, emergency room consultation, urgent care assessment, urgent health advice, same-day doctor consultation, emergency health consultation, rapid medical evaluation, urgent patient assessment [sep] emerg consult, urgent care, er consult, walk-in consult, same-day consult, urgent eval, rapid med eval, urgent health advice, emergency visit, er assessment, urgent patient eval",0,0
3,"consultation emergency - adult [sep] urgent doctor visit, emergency adult consultation, immediate health assessment, urgent medical advice, adult er consult, same-day doctor appointment, urgent healthcare evaluation, adult emergency medical review, quick medical consultation, urgent care for grown-ups, adult health emergency, instant medical advice [sep] e-consult, emer, er consult, urgent med consult, adult er, asap med eval, urgent health eval, adult urgent consult, adult em review, immediate med advise, rapid med consult, urgent adult care",0,0
4,"consultation opd [sep] outpatient consultation, clinic visit, doctor appointment, outpatient exam, medical consultation, outpatient check-up, patient visit, outpatient appointment, initial consultation, primary care visit, outpatient assessment, outpatient service [sep] opd, outpt consult, clinic visit, dr appt, op exam, med consult, pts visit, op appt, initial consult, pcv, outpt assessment, outpt serv",0,0
5,"consultation paediatric [sep] pediatric consultation, child's medical advice, kid's health assessment, pediatric doctor visit, child wellness check, pediatrician appointment, baby health consultation, children's healthcare advice, pediatric patient evaluation, pediatric specialist consultation, kid-focused medical review, pediatric health screening [sep] ped consult, peds consult, peds eval, peds appt, child health check, pediatric visit, kid health eval, pediatrician visit, kid med review, pediatric specialist consult, pediatric screening",0,0
6,"consultation psychiatry [sep] psychiatry consultation, mental health evaluation, psychiatric assessment, counselor appointment, mental wellness check, psychiatric screening, therapy appointment, mental health review, behavioral health consultation, psychiatrist visit, emotional health assessment, psychological consultation [sep] psych consult, psych eval, psych assessment, mh consult, bh eval, psychiatry appt, mh review, psych screening, therapist visit, emo health eval, psych consult note",0,0
7,"consultation registrar [sep] medical consultation appointment, doctor consult with registrar, clinical evaluation session, physician discussion appointment, specialist review meeting, patient-doctor conference, healthcare provider consultation, scheduled doctor visit, medical advise session, doctor’s case review, health assessment appointment, outpatient consultation [sep] consult, med consult, dr. consult, clin eval, pcp visit, specialist review, patient-dr. conf, outpt consult, health assess, provider consult, med advice, case review",0,0
8,"covid consultation [sep] covid assessment, coronavirus evaluation, covid-19 doctor visit, respiratory infection check, covid symptoms consultation, virus screening appointment, flu and covid screening, pandemic-related medical appointment, covid patient evaluation, infectious disease consultation, viral illness assessment, covid testing inquiry [sep] covid consult, covid eval, covid-19 visit, respiratory check, covid symptoms consult, virus screen, covid screening, pandemic appt, covid patient eval, infectious disease consult, viral illness eval, covid test inquiry",0,0
9,"pre anesthesia evaluation [sep] pre-surgery anesthesia assessment, preoperative anesthesia interview, anesthesia evaluation before surgery, anesthesia screening exam, pre-op anesthesia consult, anesthesia risk assessment, anesthesiologist pre-op review, pre-anesthesia medical check, anesthesia safety evaluation, prep for anesthesia, pre-surgery sedation exam, anesthesia consultation [sep] pre-ana, preop anes eval, anes eval, pre-op anes, anesthesia screening, anes risk assessment, pre-op anesthesia, pre-op sedation, pre-op anesth consult, anesthesia safety eval",0,0
10,"125 dihydroxy vitamin d [sep] vitamin d2 supplement, ergocalciferol, active vitamin d form, 125 dihydroxy vitamin d, calcifediol blood test, vitamin d level check, vitamin d deficiency test, vitamin d measurement, vitamin d blood serum, vitamin d3 metabolite, vitamin d hormone, vitamin d assay [sep] 25(oh)d, vit d2, ergocalciferol, calcifediol, 125(oh)2d, vit d lab, vit d level, d deficiency test, vit d serum, vit d metabolite",0,0
11,"120 min post glucose insulin [sep] blood sugar test after eating, insulin shot 2 hours after glucose, 2-hour post-meal insulin test, blood sugar check post-glucose, insulin administration after sugar intake, glucose tolerance insulin measurement, diabetes glucose-insulin test, post-prandial insulin injection, blood glucose reading following glucose drink, insulin therapy after glucose load, blood sugar level after carbohydrate intake, delayed insulin dose for blood sugar [sep] 2h post-glucose insulin, pp insulin test, 120 min insulin, 2-hour post-meal insulin, post-prandial insulin, ogtt insulin, blood sugar post-glucose, glucose challenge insulin, glucose load insulin, delayed insulin dose, blood glucose 2h",0,1
12,"17-oh p (17 alpha hydroxy progesterone) [sep] pregnancy hormone test, alpha hydroxy progesterone blood test, 17-oh p assay, hormone level check during pregnancy, prenatal steroid marker, pregnancy-associated hormone screening, 17-alpha hydroxyprogesterone measurement, pregnancy hormone evaluation, cortisol precursor test, fertility hormone analysis, birth defect risk screening, pregnancy hormone monitoring [sep] 17-oh p, ahp, 17ohp, alpha-oh p, p4 steroid test, pregnancy hormone panel, prenatal steroid screen, steroid hormone test, fetal hormone screen, pregnancy hormone assay",0,0
13,"24 hour urinary oxalate [sep] 24-hour urine oxalate test, urine oxalate over a day, daily oxalate measurement, 24-hour urine test for oxalate, extended urine oxalate analysis, urine collection for oxalate, hourly urine oxalate test, patient urine oxalate monitoring, oxalate excretion test, urinary oxalate assessment, urine test for kidney stones, daily urine test for oxalate [sep] 24h u ox, 24h u oxalate, 24h uox, 24h urine ox, 24uox, 1-day urine oxalate, urine oxalate 24h, uox 24hr, 24hr uox test, uo (urinary oxalate), day urine oxalate, 24uox collection",1,0
14,"24 hrs urine albumin [sep] 24-hour urine protein test, 24 hr urine albumin, daily urine albumin measurement, urine collection for albumin, hourly urine protein test, 24-hour urine test for albumin, urine protein over a day, short form urine albumin, urine test for kidney function, overnight urine albumin, total urine protein analysis, albumin excretion test [sep] 24hr urine alb, 24h u-alb, 24h ua, 24hr u-alb, daily ua, urine alb test, 24h urine protein, overnight ua, urine protein test, total urine protein, alb excretion, urine albumin, urine albumin test",0,0
15,"24 hrs urine aldosterone [sep] 24-hour urine test for aldosterone, salivary aldosterone test over a day, daily urine hormone measurement, complete urine aldosterone analysis, 24-hour hormone urine collection, urine test for adrenal function, overnight urine aldosterone testing, long-term urine aldosterone check, hormone level in urine over a day, urine-based aldosterone screening, daylong urine aldosterone assessment, urine sample for adrenal hormone [sep] 24h-u-ald, 24u-ald, daily-u-ald, 24h-u-aldo, longterm-u-ald, u-ald test, 24h-hormone-u, u-aldosterone, u-ald collection, adrenal-u test, aldosterone urine, urine adrenal hormone",0,0
16,"24hr.urine cortisol(ranbaxy) [sep] 24-hour urine cortisol test, 24-hour urine steroid measurement, daily urinary cortisol screening, cortisol levels over 24 hours, urinary free cortisol collection, lab test for cortisol, overnight steroid urine test, adrenal function urine analysis, urinary cortisol assay, cortisol testing for adrenal health, steroid excretion test, day-long urine cortisol measurement [sep] 24h urine cortisol, 24h u/ cortisol, ucc, urinary cortisol test, 24h urinary steroids, urinary free cortisol, 24h urine screen, u/a cortisol, adrenal function urine, urinary cortisol assay, serum-free cortisol, urine steroid panel",0,0
17,"24 hr urine metanephrines(ranbaxy) [sep] 24-hour urine test for metanephrines, 24-hour urinary catecholamines test, adrenal gland hormone screening, pheochromocytoma screening, urine collection for metanephrines, biochemical adrenal function test, hourly urine catecholamine measurement, blood pressure and urine metanephrines, hormone testing for adrenal tumors, urinary adrenaline breakdown products, metanephrine screening for tumor detection, 24-hour adrenal hormone analysis [sep] 24h u-mets, 24h urine metanephrines, 24h urine catecholamines, pheo screen, 24h urinary metanephrines, u-met tests",0,0
18,"24 hr urine urea [sep] 24-hour urine urea, daily urine nitrogen test, urine urea measurement, 24-hour nitrogen analysis, overnight urine urea test, urine test for urea levels, extended urine urea collection, urine breakdown product test, daily protein waste test, urine nitrogen excretion, kidney function urine test, urine urea analysis [sep] 24urea, 24h urea, 24u, 24hr urine urea, 24h urine nitrogen",0,0
19,"5-hydroxy indole acetic acid (5-hiaa) [sep] serotonin breakdown product, 5-hiaa test, urine serotonin metabolite, 5-hydroxyindole acetic acid measurement, serotonin waste analysis, serotonin metabolite test, urinary 5-hiaa, serotonin derivative assay, serotonin pathway marker, serotonin byproduct, hospital urine test for serotonin, serotonin toxin test [sep] 5-hiaa, urinary 5-hiaa, u-5-hiaa, 5-hiaa test, 5-hiaa assay, serotonin metabolite, urine serotonin, serotonin byproduct, serotonin pathway, serotonin marker",0,0
20,"ace (angiotensin converting enzyme) [sep] ace inhibitor medication, angiotensin-converting enzyme blocker, blood pressure medicine, heart failure drug, ace enzyme blocker, renin-angiotensin system inhibitor, common hypertension treatment, ace medication, cardiovascular drug, blood pressure lowering pill, angiotensin enzyme medicine, ace-specific drug [sep] acei, ace inhibitor, ace blocker, arb, angiotensin blocker, ace med, bp med, blood pressure drug, heart failure drug, renin-angiotensin inhibitor, cardio drug, antihypertensive",0,0
21,"acid phosphatase -prostatic [sep] prostate enzyme test, acid phosphatase for prostate, pap blood test, prostate-specific enzyme, prostate cancer marker, enzyme indicating prostate health, acid phosphatase in prostate, male reproductive organ enzyme, prostate function assessment, prostate gland enzyme, prostate-related enzyme test, enzyme for prostate disease [sep] pap, acp, psae, prostate enz, pap test, pap blood test, acidphos-prostate",0,0
22,"acid phosphatase - total [sep] prostate enzyme test, acid phosphatase blood test, total acid phosphatase, psa alternative, male prostate enzyme screening, acid phosphatase level measurement, enzymatic prostate marker, blood enzyme for prostate health, acid phosphatase in blood, total prostate enzyme assay, prostate cancer marker test, enzyme analysis for prostate [sep] acp, t-acp, ap, total ap, prostate enzyme, blood ap, tpap, enzyme p, prostate marker, prostate enzyme test, ap level, prostate enzyme assay",0,0
23,"acth plasma [sep] adrenocorticotropic hormone test, acth blood test, plasma acth measurement, adrenal function test, hormone blood screening, pituitary hormone assay, cortisol-stimulating hormone test, acth level check, adrenal gland function evaluation, blood test for acth, hormone level testing, adrenal hormone monitoring [sep] acth plasma, acth blood test, plasma acth, acth lvl, acth test",0,0
24,"adenosine deaminase (ada) [sep] adenosine deaminase test, ada enzyme test, adenosine deaminase blood test, ada level measurement, adenosine deaminase activity assay, ada in tb diagnosis, ada enzyme activity, adenosine deaminase assay, ada immune function test, ada enzyme test for tuberculosis, ada blood work, adenosine deaminase enzyme measurement [sep] ada, adenosine deaminase, ada blood test, ada activity, ada enzyme, ada assay, ada for tb",0,0
25,"adh-anti diuretic hormone [sep] vasopressin, antidiuretic hormone, adh, water-retaining hormone, posterior pituitary hormone, hormone regulating urine concentration, antidiuretic agent, adh injection, hormone therapy for diabetes insipidus, brain hormone controlling water balance, hormone affecting kidney water absorption, synthetic adh [sep] adh, vasopressin, adh injection, avp, ddavp, desmopressin, antidiuretic hormone, water-retaining hormone, posterior pituitary hormone",0,0
26,"afp (alpha feto protein) [sep] alpha feto protein test, fetal protein blood test, afp screening, tumor marker for liver cancer, pregnancy screening test, alpha-fetoprotein level, blood test for liver tumor, tumor marker in blood, screening for fetal defects, cancer marker assay, liver cancer blood test, fetal development indicator [sep] afp, α-fp, afp lvl, afp test, afp assay, fetal afp, tumor marker afp, liver tumor marker, fetal defect screen, alpha-fetoprotein, blood afp",0,0
27,"albumin /globulin (a/g) ratio [sep] liver protein test, blood albumin and globulin ratio, a/g ratio blood test, blood protein levels, liver function test, blood test for proteins, albumin and globulin balance, protein ratio in blood, protein levels evaluation, blood test for liver health, serum protein test, total serum protein ratio [sep] a/g ratio, alb/glob ratio, serum protein ratio, spr, albumin/globulin, tp ratio, liver proteins, blood protein ratio",0,0
28,"albumin - serum [sep] blood protein test, serum albumin level, albumin blood test, protein in blood, blood sugar albumin, albumin measurement, blood plasma protein, nutritional blood test, blood albumin check, liver function test, blood test for proteins, serum protein evaluation [sep] alb, s-alb, alb ser, sab, seralb, problood, alb lvl, albumin, blood alb, albumin test, serum protein, liverfunctest, nutritionalbloodtest",0,0
29,"alcohol - blood [sep] blood alcohol level, bac, alcohol blood test, blood alcohol content, blood alcohol concentration, breathalyzer result, alcohol in blood, blood alcohol measure, alcohol blood screening, blood alcohol reading, blood alcohol assessment, alcohol intoxication level [sep] bac, blood alcohol, bal, blood alcohol content, blood alcohol level, breathalyzer, blood alcohol test",0,0
30,"alcohol screen urine [sep] alcohol urine test, alcohol screening in urine, urine alcohol assessment, alcohol detection via urine, drug screening for alcohol, urine alcohol level check, alcohol consumption test, alcohol presence in urine, forensic alcohol testing, urine alcohol analysis, alcohol marker in urine, alcohol testing kit [sep] ua alcohol screen, urine etoh, urine alcohol test, uetoh, ualc, u alcohol, alcohol in urine, forensic urine etoh, urine alcohol level, urine alcohol assay, ua alcohol detection",0,0
31,"aldolase [sep] enzyme test for muscle damage, muscle enzyme blood test, aldolase assay, blood test for muscle injury, skeletal muscle enzyme measure, enzymatic muscle marker, muscle damage indicator, laboratory aldolase level, muscle enzyme screening, diagnostic muscle enzyme, blood enzyme for muscle, aldolase level test [sep] ald, aldol, aldolase serum, am enzyme, skeletal enzyme, aldolase assay, muscle enzyme test, muscle damage marker, aldolase level, enzymatic muscle panel",0,0
32,"alkaptonuria (homogentisic acid) [sep] alkaptonuria, homogentisic acid buildup, inherited metabolic disorder, ochronosis, enzyme deficiency of homogentisate oxidase, urinary pigment disease, black urine condition, connective tissue discoloration, rare genetic disorder, dark urine and tissue pigmentation, accumulation of homogentisic acid, metabolic defect causing pigment deposits [sep] ak, hga, ochronosis, homogentisic acid, galt, pigd, homogentisate oxidase deficiency, ua pigmentation, metabolic disorder, connective tissue pigmentation",0,0
33,"alp (alkaline phosphatase) [sep] liver enzyme test, alkaline phosphatase blood test, bone and liver enzyme analysis, alp level check, enzyme marker for bone or liver, phosphatase activity measurement, pediatric alkaline phosphatase levels, adult alp screening, liver function panel component, bone disease marker, alkaline phosphatase assay, enzyme test for bone or liver [sep] alp, alkp, alp blood test, alp lvl, alp assay, liver/bone enzyme, alp panel, alp screen",0,0
34,"alpha 1 antitrypsin [sep] alpha-1 antitrypsin deficiency, aat protein deficiency, liver and lung enzyme deficiency, genetic enzyme disorder affecting lungs and liver, rare inherited condition lowering protective protein, blood test for alpha-1 antitrypsin levels, enzyme shortage in blood, lung and liver protective protein deficiency, alpha-1 protein test, genetic lung and liver disease, alpha-1 deficiency diagnosis, protein deficiency related to lung and liver health [sep] a1at, aat deficiency, alpha-1 antitrypsin def, aat test, alpha-1 disease, aat lvl, protein def, alpha-1 enzyme deficiency, alpha-1 test, aat dx",1,0
